Exposure,"Risk Estimates 
(n)","Pooled OR 
(95% CI)","Pooled PAF% 
(95% CI)"
Any dust,8,1.56 (1.28-1.91),14 (12-17)
Metal dust,10,1.44 (1.25-1.65),8 (6-10)
Wood dust,11,1.66(1.25-2.2),4 (3-5)
Agricultural dust,6,1.68 (1.21-2.34),9 (6-12)
