author,year,num,denom
Scott,1990,2,40
Mullen,1998,3,15
Baumgartner,2000,6,248
Miyake,2005,5,102
Gustafson,2007,4,140
Awadalla_men,2012,1,95
Paolocci,2013,7,65
Koo,2017,4,78
