author,year,or,cilow,ciup
Scott,1990,1.59,0.52,4.79
Mullen,1998,11,1.05,115
Baumgartner,2000,3.9,1.2,12.7
Miyake,2005,1.75,0.52,7.01
Gustafson,2007,1.4,0.74,2.72
Awadalla,2012,1.11,0.45,2.72
Paolocci,2013,1.99,0.91,4.35
Koo,2017,1.24,0.41,3.76
