bi,Lncilow,Lnciup
2.3878449369,0.2151113796,4.5643481915
1.1019400788,0.2546422184,2.0055258587
0.993251773,0.2623642645,1.7047480922
0.4700036292,0,0.9162907319
-0.5978370008,-1.8325814637,0.6365768291
0,-0.8209805521,0.824175443
1.205970807,0.1570037488,2.3145136639
