author,year,or,cilow,ciup
Scott,1990,10.89,1.24,96
Iwai,1994,3.01,1.29,7.43
Baumgartner,2000,1.6,1,2.5
Miyake,2005,0.55,0.16,1.89
Awadalla,2012,1,0.44,2.28
Awadalla,2012,3.34,1.17,10.12
