author,year,num,denom
Scott,1990,3.96,40
Hubbard,1996,12.46,218
Mullen,1998,1.39,15
Baumgartner,2000,7.5,244
Miyake,2005,4.17,102
Gustafson,2007,3.67,140
Awadalla_men,2012,9.46,95
Awadalla_women,2012,6.15,106
Paolocci_hard_wood,2013,0,65
Paolocci_softwood,2013,0,65
Koo,2017,3.61,78
