author,year,num,denom
Scott,1990,5.45,40
Hubbard,1996,21.86,218
Hubbard,2000,0.96,22
Baumgartner,2000,12.5,248
Miyake,2005,10.74,102
Gustafson,2007,0,140
Awadalla,2012,6.24,95
Paolocci,2013,5.79,65
Koo,2017,16.77,78
