author,year,num,denom
Davidson 1969,1969,10,139
Rubin 1980,1980,2,13
Kariman 1984,1984,0,23
Prakash 1987,1987,2,34
Asamoto 1995,1995,2,68
Goldstein 1998,1998,0,24
Kim 1999,1999,0,10
Briens 2002,2002,3,41
Fang 2009,2009,1,11
Byun 2010,2010,0,38
Bonella 2011,2011,8,70
Campo 2013,2013,10,73
Fijolek 2014,2014,0,17
Xiao 2015,2015,10,45
Deleanu 2016,2016,1,20
Hadda 2016,2016,2,35
Huang 2016,2016,0,17
Guo 2017,2017,0,37
Hwang 2017,2017,7,71
