author,year,num,denom
Scott,1990,6.55,40
Mullen,1998,3.47,15
Miyake,2005,27.12,102
Gustafson,2007,7.81,140
Garcia-Sancho Figueroa,2010,9.17,97
Garcia-Sancho,2011,49.5,100
Koo,2017,27.07,78
