author,year,or,cilow,ciup
Scott,1990,2.94,0.87,9.9
Hubbard,1996,1.71,1.01,2.92
Mullen,1998,3.3,0.42,25.8
"Baumgartner,",2000,1.6,0.8,3.3
Miyake,2005,6.03,0.32,112.4
Gustafson,2007,1.2,0.65,2.23
Awadalla,2012,2.56,1.02,7.01
Awadalla,2012,3.48,0.67,18.16
Paolocci,2013,1.11,0.37,3.31
Paolocci,2013,0.86,0.26,2.78
Koo,2017,2.51,0.52,12.28
